cus_id,churn
20663512,1
444286946,0
348084528,1
59232755,1
168821213,1
17104405,1
201462175,1
198526307,1
97076698,1
47213871,1
89369036,1
287903177,1
92993111,0
436648534,1
23922020,1
130381927,0
400738990,0
242851195,1
27513162,1
76698977,1
401521388,0
63460411,1
157888384,1
306684271,1
135717008,1
329672976,1
352625200,1
64751547,1
315085055,1
44405779,1
228925747,1
202739302,1
194252117,0
161400650,1
230053482,1
444870257,0
16020880,1
241712183,0
154928372,1
295696220,0
27328778,1
37199290,1
192462969,1
152983981,1
115663519,1
48138054,0
411202948,1
155814116,1
167593190,1
142867215,0
187443352,0
277664816,0
338801201,1
160566517,1
12847160,1
150076192,1
279475639,0
358542919,1
204208275,0
92174314,1
324100798,1
62224659,1
179293287,1
22935580,1
72106978,0
69530702,1
58177431,0
72910502,0
59500705,1
176677247,1
212865896,0
404734729,0
47596465,0
150304317,0
127289268,1
193147649,1
198037902,1
266346945,1
442600879,1
169291676,1
262875463,1
59219930,0
3517850,1
406071604,0
403641456,0
109730771,0
292776523,0
197260011,1
170307053,1
239115719,1
69972249,1
65355250,1
58921615,1
77125087,1
78320095,1
233149590,1
224630328,1
75967683,1
305495768,1
435393656,0
80381660,0
259894998,0
277901974,1
68776303,0
225025259,1
119187041,1
119819437,0
126811299,1
147699411,0
192024156,1
102276665,1
100387,1
161281560,1
140451242,0
2537284,1
234640059,0
232825867,0
302798915,1
104590739,1
36876509,1
135889730,1
374919969,1
316738229,1
364301214,1
405844827,0
423842339,1
430886039,0
341226743,1
52601606,0
346662863,1
393739622,1
357201621,0
278956726,0
167144732,1
150924784,1
59132490,0
80582703,1
288812821,1
201401184,1
345146376,1
51528193,1
447371022,0
176781817,0
90926328,0
135380725,1
216709858,0
243679782,1
383883037,0
259190620,1
201576026,1
150721131,0
71695632,1
223327919,1
307253594,1
391245179,1
129033735,1
32500723,0
96789275,1
171508646,1
141610501,1
373959711,0
212405812,1
96998087,1
175220386,1
143035306,1
389413024,0
150359865,1
236883230,1
321952773,1
181500776,1
33537775,1
405662725,0
172712504,1
78624465,1
391256456,0
323428945,0
409866441,0
298580965,0
52660496,1
71736946,1
375243974,0
49075678,1
3491178,0
64461617,0
118143850,0
41738372,1
341128964,1
40689637,1
413792257,1
315385326,1
84210978,1
299861253,1
240030848,0
446803945,0
320145191,0
255507144,0
73860013,0
64238689,0
42926446,1
81191731,1
444724966,0
419392760,0
97621448,0
166204258,1
28358429,1
161660568,1
139126481,1
58173090,1
93176414,1
221874705,0
195909617,1
382101599,1
137523532,1
59156125,1
143900822,1
393882978,0
123083657,0
376923151,0
420461603,0
46175883,1
61003692,1
440798170,1
26930791,1
216123609,1
292444505,0
181109803,1
20469563,1
178412521,1
186771400,0
59482761,0
124989731,0
382625938,0
157180193,0
118626467,1
80043032,1
18346885,0
286536000,1
285653070,1
75710009,0
309454374,1
112027473,1
393855593,1
51662983,1
97229516,0
91641945,0
227052299,1
104612517,1
117646086,0
394340164,0
156176032,0
106507,1
